HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,FTR
1.89,1.32,1.74,1.37,1.74,1.42,1.71,1.34,14.95,11.42,13.84,13.84,5.92,4.84,6.63,4.47,0.00
1.53,0.74,1.18,0.89,1.58,0.68,1.47,0.89,12.05,9.84,11.76,11.76,4.29,3.32,4.32,3.05,0.00
1.11,1.53,0.68,1.29,1.16,1.68,0.89,1.34,14.42,10.37,11.92,11.92,3.92,3.84,4.53,3.68,2.00
0.47,1.58,0.42,1.89,0.53,1.26,0.58,1.66,10.68,14.79,10.53,10.53,3.11,5.21,3.00,4.21,2.00
1.32,1.74,1.18,1.87,1.26,1.74,1.11,1.76,14.00,12.00,11.68,11.68,3.74,4.97,4.21,4.42,2.00
1.42,0.68,1.32,0.95,1.37,0.84,1.37,0.92,11.79,8.68,11.42,11.42,3.97,2.84,4.37,2.89,0.00
1.79,1.05,1.50,1.42,1.47,1.26,1.24,1.42,14.05,11.37,12.47,12.47,3.97,4.45,4.47,4.42,1.00
2.37,2.32,1.84,2.58,2.21,2.00,1.92,2.50,13.47,15.63,12.26,12.26,4.47,6.84,5.05,5.89,2.00
2.79,1.11,2.55,1.37,2.89,1.05,2.34,1.37,17.63,10.32,15.11,15.11,5.95,4.13,6.63,3.63,0.00
1.21,0.89,1.03,1.05,1.42,1.11,1.18,1.18,13.58,7.84,12.63,12.63,4.26,3.03,4.68,2.58,1.00
1.05,1.05,0.92,1.22,1.11,0.95,0.92,1.11,12.11,9.37,11.00,11.00,3.38,3.78,3.58,3.26,1.00
2.21,1.32,1.86,1.89,2.05,1.63,1.62,1.97,17.11,11.05,16.03,16.03,5.24,4.51,6.21,3.89,0.00
1.79,0.84,1.43,1.03,1.58,0.95,1.41,1.22,14.68,11.68,13.22,13.22,4.43,4.30,4.47,3.84,0.00
1.42,1.21,1.41,1.51,1.26,1.00,1.35,1.22,15.68,10.89,13.57,13.57,4.86,3.97,5.21,3.47,0.00
2.00,0.26,1.84,0.70,1.79,0.63,1.76,0.92,16.21,9.42,14.08,14.08,4.97,3.86,5.53,3.32,0.00
1.63,0.84,1.41,1.14,1.68,1.37,1.41,1.46,12.89,11.47,11.78,11.78,4.19,4.30,4.63,4.26,2.00
1.21,1.58,0.97,1.70,1.00,1.68,0.95,1.70,10.53,12.74,9.70,9.70,2.92,5.92,2.79,5.21,0.00
1.21,1.21,1.05,1.27,1.26,1.37,1.22,1.35,11.05,11.05,9.27,9.27,2.95,3.95,3.47,3.58,2.00
2.84,0.37,2.57,0.43,3.00,0.63,2.51,0.59,20.32,10.37,18.00,18.00,6.81,3.16,7.79,3.21,0.00
1.05,2.32,1.24,2.54,1.00,1.79,1.32,2.30,15.47,12.58,13.00,13.00,3.70,5.89,4.00,5.26,2.00
2.50,1.17,1.94,1.44,2.33,1.11,1.97,1.42,13.72,10.61,12.28,12.28,4.47,4.17,5.17,3.72,0.00
