Home,Away,HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,O15HPG,O15APG,O25HPG,O25APG,HAD,H_Win,A_Win,FTG,O15,O25
Man United,Leicester,1.894736842,1.315789474,1.736842105,1.368421053,1.736842105,1.421052632,1.710526316,1.342105263,14.94736842,11.42105263,13.84210526,13.84210526,5.921052632,4.842105263,6.631578947,4.473684211,0.894736842,0.736842105,0.684210526,0.526315789,0,1,0,3,1,1
Bournemouth,Cardiff,1.526315789,0.736842105,1.184210526,0.894736842,1.578947368,0.684210526,1.473684211,0.894736842,12.05263158,9.842105263,11.76315789,11.76315789,4.289473684,3.315789474,4.315789474,3.052631579,0.789473684,0.368421053,0.578947368,0.368421053,0,1,0,2,1,0
Fulham,Crystal Palace,1.105263158,1.526315789,0.684210526,1.289473684,1.157894737,1.684210526,0.894736842,1.342105263,14.42105263,10.36842105,11.92105263,11.92105263,3.921052632,3.842105263,4.526315789,3.684210526,0.894736842,0.578947368,0.526315789,0.578947368,2,0,1,2,1,0
Huddersfield,Chelsea,0.473684211,1.578947368,0.421052632,1.894736842,0.526315789,1.263157895,0.578947368,1.657894737,10.68421053,14.78947368,10.52631579,10.52631579,3.105263158,5.210526316,3,4.210526316,0.631578947,0.631578947,0.421052632,0.631578947,2,0,1,3,1,1
Newcastle,Tottenham,1.315789474,1.736842105,1.184210526,1.868421053,1.263157895,1.736842105,1.105263158,1.763157895,14,12,11.68421053,11.68421053,3.736842105,4.973684211,4.210526316,4.421052632,0.789473684,0.631578947,0.578947368,0.631578947,2,0,1,3,1,1
Watford,Brighton,1.421052632,0.684210526,1.315789474,0.947368421,1.368421053,0.842105263,1.368421053,0.921052632,11.78947368,8.684210526,11.42105263,11.42105263,3.973684211,2.842105263,4.368421053,2.894736842,0.842105263,0.526315789,0.684210526,0.526315789,0,1,0,2,1,0
Wolves,Everton,1.789473684,1.052631579,1.5,1.421052632,1.473684211,1.263157895,1.236842105,1.421052632,14.05263158,11.36842105,12.47368421,12.47368421,3.973684211,4.447368421,4.473684211,4.421052632,0.842105263,0.526315789,0.368421053,0.526315789,1,0,0,4,1,1
Arsenal,Man City,2.368421053,2.315789474,1.842105263,2.578947368,2.210526316,2,1.921052632,2.5,13.47368421,15.63157895,12.26315789,12.26315789,4.473684211,6.842105263,5.052631579,5.894736842,0.947368421,0.473684211,0.421052632,0.473684211,2,0,1,2,1,0
Liverpool,West Ham,2.789473684,1.105263158,2.552631579,1.368421053,2.894736842,1.052631579,2.342105263,1.368421053,17.63157895,10.31578947,15.10526316,15.10526316,5.947368421,4.131578947,6.631578947,3.631578947,0.842105263,0.421052632,0.631578947,0.421052632,0,1,0,4,1,1
Southampton,Burnley,1.210526316,0.894736842,1.026315789,1.052631579,1.421052632,1.105263158,1.184210526,1.184210526,13.57894737,7.842105263,12.63157895,12.63157895,4.263157895,3.026315789,4.684210526,2.578947368,0.894736842,0.578947368,0.684210526,0.578947368,1,0,0,0,0,0
Cardiff,Newcastle,1.052631579,1.052631579,0.918918919,1.216216216,1.105263158,0.947368421,0.918918919,1.108108108,12.10526316,9.368421053,11,11,3.378378378,3.783783784,3.578947368,3.263157895,0.789473684,0.368421053,0.631578947,0.368421053,1,0,0,0,0,0
